Player,stats_Nation,stats_Pos,stats_Squad,stats_Comp,stats_Age,stats_Born,stats_MP,stats_Starts,stats_Min,stats_90s,stats_Gls,stats_Ast,stats_G+A,stats_G-PK,stats_PK,stats_PKatt,stats_CrdY,stats_CrdR,stats_Gls_1,stats_Ast_1,stats_G+A_1,stats_G-PK_1,stats_G+A-PK,shooting_Nation,shooting_Pos,shooting_Squad,shooting_Comp,shooting_Age,shooting_Born,shooting_90s,shooting_Gls,shooting_Sh,shooting_SoT,shooting_SoT%,shooting_Sh/90,shooting_SoT/90,shooting_G/Sh,shooting_G/SoT,shooting_Dist,shooting_PK,shooting_PKatt,passing_Nation,passing_Pos,passing_Squad,passing_Comp,passing_Age,passing_Born,passing_90s,passing_Cmp,passing_Att,passing_Cmp%,passing_TotDist,passing_PrgDist,passing_Cmp_1,passing_Att_1,passing_Cmp%_1,passing_Cmp_2,passing_Att_2,passing_Cmp%_2,passing_Cmp_3,passing_Att_3,passing_Cmp%_3,passing_Ast,passing_A-xAG,passing_KP,passing_1/3,passing_PPA,passing_CrsPA,passing_types_Nation,passing_types_Pos,passing_types_Squad,passing_types_Comp,passing_types_Age,passing_types_Born,passing_types_90s,passing_types_Att,passing_types_Live,passing_types_Dead,passing_types_FK,passing_types_TB,passing_types_Sw,passing_types_Crs,passing_types_TI,passing_types_CK,passing_types_In,passing_types_Out,passing_types_Str,passing_types_Cmp,passing_types_Off,passing_types_Blocks,gca_Nation,gca_Pos,gca_Squad,gca_Comp,gca_Age,gca_Born,gca_90s,gca_SCA,gca_SCA90,gca_PassLive,gca_PassDead,gca_TO,gca_Sh,gca_Fld,gca_Def,gca_GCA,gca_GCA90,gca_PassLive_1,gca_PassDead_1,gca_TO_1,gca_Sh_1,gca_Fld_1,gca_Def_1,defense_Nation,defense_Pos,defense_Squad,defense_Comp,defense_Age,defense_Born,defense_90s,defense_Tkl,defense_TklW,defense_Def 3rd,defense_Mid 3rd,defense_Att 3rd,defense_Tkl_1,defense_Att,defense_Tkl%,defense_Lost,defense_Blocks,defense_Sh,defense_Pass,defense_Int,defense_Tkl+Int,defense_Clr,defense_Err,possession_Nation,possession_Pos,possession_Squad,possession_Comp,possession_Age,possession_Born,possession_90s,possession_Touches,possession_Def Pen,possession_Def 3rd,possession_Mid 3rd,possession_Att 3rd,possession_Att Pen,possession_Live,possession_Att,possession_Succ,possession_Succ%,possession_Tkld,possession_Tkld%,possession_Carries,possession_TotDist,possession_PrgDist,possession_1/3,possession_CPA,possession_Mis,possession_Dis,possession_Rec,playingtime_Nation,playingtime_Pos,playingtime_Squad,playingtime_Comp,playingtime_Age,playingtime_Born,playingtime_MP,playingtime_Min,playingtime_Mn/MP,playingtime_Min%,playingtime_90s,playingtime_Starts,playingtime_Mn/Start,playingtime_Compl,playingtime_Subs,playingtime_Mn/Sub,playingtime_unSub,playingtime_PPM,playingtime_onG,playingtime_onGA,playingtime_+/-,playingtime_+/-90,playingtime_On-Off,misc_Nation,misc_Pos,misc_Squad,misc_Comp,misc_Age,misc_Born,misc_90s,misc_CrdY,misc_CrdR,misc_2CrdY,misc_Fls,misc_Fld,misc_Off,misc_Crs,misc_Int,misc_TklW,misc_PKwon,misc_PKcon,misc_OG
Mauro Laínez,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,14,1,365,4.1,1,0,1,1,0,0,3,0,0.25,0.0,0.25,0.25,0.25,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,4.1,1,4,1,25.0,0.99,0.25,0.25,1.0,0.0,0,0,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,4.1,0.0,0.0,0.0,0.0,0.0,0.0,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,4.1,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,14,365,26,17.6,4.1,1,72,0,13,23,5,0.71,5,4,1,0.25,0.77,mx MEX,MF,Mazatlán,Liga MX,28-277,1996,4.1,3,0,0,6,4,1,37,3,3,0.0,0.0,0
Emilio Lara,mx MEX,"DF,MF",Necaxa,Liga MX,22-268,2002,13,10,972,10.8,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,mx MEX,DF,América,Liga MX,22-268,2002,0.7,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,DF,América,Liga MX,22-268,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,22-268,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,22-268,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,22-268,2002,0.7,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,22-268,2002,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,DF,América,Liga MX,22-268,2002,1,59,59,2.9,0.7,1,59,0,0,0,4,0.0,1,2,-1,-1.53,-1.84,mx MEX,DF,América,Liga MX,22-268,2002,0.7,0,0,0,0,0,0,1,1,1,0.0,0.0,0
Pablo Lara,mx MEX,GK,UNAM,Liga MX,19-226,2005,6,6,540,6.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,UNAM,Liga MX,19-226,2005,6,540,90,26.1,6.0,6,90,6,0,0,4,1.83,9,7,2,0.33,-0.02,mx MEX,GK,UNAM,Liga MX,19-226,2005,6.0,1,0,0,0,2,0,0,0,0,0.0,0.0,0
Federico Lértora,ar ARG,MF,Querétaro,Liga MX,34-220,1990,23,21,"1,867",20.7,1,2,3,1,0,0,5,0,0.05,0.1,0.14,0.05,0.14,ar ARG,MF,Querétaro,Liga MX,34-220,1990,20.7,1,30,10,33.3,1.45,0.48,0.03,0.1,0.0,0,0,ar ARG,MF,Querétaro,Liga MX,34-220,1990,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Querétaro,Liga MX,34-220,1990,20.7,0.0,0.0,0.0,0.0,0.0,0.0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Querétaro,Liga MX,34-220,1990,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Querétaro,Liga MX,34-220,1990,20.7,0.0,28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12,0.0,0.0,0.0,ar ARG,MF,Querétaro,Liga MX,34-220,1990,20.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,MF,Querétaro,Liga MX,34-220,1990,23,"1,867",81,90.2,20.7,21,88,19,2,14,0,0.83,17,37,-20,-0.96,-1.85,ar ARG,MF,Querétaro,Liga MX,34-220,1990,20.7,5,0,0,33,31,9,16,12,28,0.0,0.0,0
Erik Lira,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,20,18,"1,626",18.1,1,0,1,1,0,0,4,0,0.06,0.0,0.06,0.06,0.06,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,18.1,1,5,5,100.0,0.28,0.28,0.2,0.2,0.0,0,0,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,18.1,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,18.1,0.0,25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17,0.0,0.0,0.0,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,18.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,20,"1,626",81,78.6,18.1,18,87,15,2,28,1,2.13,38,14,24,1.33,0.72,mx MEX,"DF,MF",Cruz Azul,Liga MX,24-278,2000,18.1,4,0,0,15,12,0,6,17,25,0.0,0.0,1
Aldo López,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,16,12,"1,100",12.2,2,1,3,2,0,0,1,0,0.16,0.08,0.25,0.16,0.25,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,12.2,2,12,7,58.3,0.98,0.57,0.17,0.29,0.0,0,0,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,12.2,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,0.0,0.0,0.0,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,12.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,16,"1,100",69,53.1,12.2,12,85,9,4,21,5,0.56,9,19,-10,-0.82,-0.08,mx MEX,"MF,DF",Santos,Liga MX,24-263,2000,12.2,1,0,0,7,6,1,11,15,8,0.0,0.0,0
Edgar López,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,16,4,461,5.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,5.1,0,11,5,45.5,2.15,0.98,0.0,0.0,0.0,0,0,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,5.1,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,5.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,16,461,29,22.3,5.1,4,68,0,12,16,7,1.71,7,5,2,0.39,-0.73,mx MEX,"FW,MF",Toluca,Liga MX,25-295,1999,5.1,0,0,0,3,4,1,10,5,0,0.0,0.0,0
Rodrigo López,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,17,7,748,8.3,2,2,4,2,0,0,1,0,0.24,0.24,0.48,0.24,0.48,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,8.3,2,18,8,44.4,2.17,0.96,0.11,0.25,0.0,0,0,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,8.3,0.0,0.0,0.0,0.0,0.0,0.0,68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,8.3,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,17,748,44,36.1,8.3,7,75,1,10,23,5,1.67,11,7,4,0.48,0.21,mx MEX,"MF,FW",UNAM,Liga MX,23-090,2001,8.3,1,0,0,10,9,0,68,5,8,0.0,0.0,0
Anthony Lozano,hn HON,FW,Santos,Liga MX,31-291,1993,18,14,"1,184",13.2,4,1,5,3,1,1,5,1,0.3,0.08,0.38,0.23,0.3,hn HON,FW,Santos,Liga MX,31-291,1993,13.2,4,31,10,32.3,2.36,0.76,0.1,0.3,0.0,1,1,hn HON,FW,Santos,Liga MX,31-291,1993,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,hn HON,FW,Santos,Liga MX,31-291,1993,13.2,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hn HON,FW,Santos,Liga MX,31-291,1993,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hn HON,FW,Santos,Liga MX,31-291,1993,13.2,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,hn HON,FW,Santos,Liga MX,31-291,1993,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,hn HON,FW,Santos,Liga MX,31-291,1993,18,"1,184",66,57.2,13.2,14,75,4,4,33,0,0.5,12,22,-10,-0.76,0.05,hn HON,FW,Santos,Liga MX,31-291,1993,13.2,5,1,1,26,15,8,6,1,6,0.0,0.0,0
José Lozano,mx MEX,MF,Atlas,Liga MX,26-128,1998,21,17,"1,388",15.4,3,3,6,3,0,0,4,0,0.19,0.19,0.39,0.19,0.39,mx MEX,MF,Atlas,Liga MX,26-128,1998,15.4,3,24,6,25.0,1.56,0.39,0.13,0.5,0.0,0,0,mx MEX,MF,Atlas,Liga MX,26-128,1998,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlas,Liga MX,26-128,1998,15.4,0.0,0.0,0.0,0.0,0.0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlas,Liga MX,26-128,1998,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlas,Liga MX,26-128,1998,15.4,0.0,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,mx MEX,MF,Atlas,Liga MX,26-128,1998,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlas,Liga MX,26-128,1998,21,"1,388",66,67.1,15.4,17,76,5,4,26,0,1.19,18,23,-5,-0.32,-0.19,mx MEX,MF,Atlas,Liga MX,26-128,1998,15.4,4,0,0,34,19,0,42,18,15,0.0,0.0,0
José Luis Rodríguez,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,15,11,949,10.5,1,2,3,1,0,0,1,0,0.09,0.19,0.28,0.09,0.28,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,10.5,1,17,8,47.1,1.61,0.76,0.06,0.13,0.0,0,0,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,10.5,0.0,0.0,0.0,0.0,0.0,0.0,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,10.5,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,0.0,0.0,0.0,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,15,949,63,45.8,10.5,11,78,5,4,23,0,1.53,11,17,-6,-0.57,0.07,pa PAN,"MF,FW",FC Juárez,Liga MX,26-236,1998,10.5,1,0,0,9,22,2,55,11,9,0.0,0.0,0
Oscar Macías,mx MEX,MF,Atlético,Liga MX,26-216,1998,18,15,"1,258",14.0,1,1,2,1,0,0,1,0,0.07,0.07,0.14,0.07,0.14,mx MEX,MF,Atlético,Liga MX,26-216,1998,14.0,1,11,3,27.3,0.79,0.21,0.09,0.33,0.0,0,0,mx MEX,MF,Atlético,Liga MX,26-216,1998,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlético,Liga MX,26-216,1998,14.0,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlético,Liga MX,26-216,1998,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlético,Liga MX,26-216,1998,14.0,0.0,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,mx MEX,MF,Atlético,Liga MX,26-216,1998,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Atlético,Liga MX,26-216,1998,18,"1,258",70,60.8,14.0,15,83,6,3,6,4,1.64,24,16,8,0.57,0.57,mx MEX,MF,Atlético,Liga MX,26-216,1998,14.0,1,0,0,21,25,1,6,8,24,0.0,0.0,0
Fernando Madrigal,mx MEX,MF,Tijuana,Liga MX,33-090,1991,6,3,281,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Tijuana,Liga MX,33-090,1991,3.1,0,5,3,60.0,1.6,0.96,0.0,0.0,0.0,0,0,mx MEX,MF,Tijuana,Liga MX,33-090,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Tijuana,Liga MX,33-090,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Tijuana,Liga MX,33-090,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Tijuana,Liga MX,33-090,1991,3.1,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,mx MEX,MF,Tijuana,Liga MX,33-090,1991,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,MF,Tijuana,Liga MX,33-090,1991,6,281,47,13.6,3.1,3,54,0,3,40,7,2.17,9,4,5,1.6,1.9,mx MEX,MF,Tijuana,Liga MX,33-090,1991,3.1,0,0,0,2,4,0,2,0,7,0.0,0.0,0
Lisandro Magallán,ar ARG,DF,UNAM,Liga MX,31-136,1993,18,18,"1,601",17.8,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,UNAM,Liga MX,31-136,1993,17.8,0,8,1,12.5,0.45,0.06,0.0,0.0,0.0,0,0,ar ARG,DF,UNAM,Liga MX,31-136,1993,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,UNAM,Liga MX,31-136,1993,17.8,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,UNAM,Liga MX,31-136,1993,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,UNAM,Liga MX,31-136,1993,17.8,0.0,21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,ar ARG,DF,UNAM,Liga MX,31-136,1993,17.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,ar ARG,DF,UNAM,Liga MX,31-136,1993,18,"1,601",89,77.3,17.8,18,89,15,0,0,0,1.6,24,18,6,0.34,-0.05,ar ARG,DF,UNAM,Liga MX,31-136,1993,17.8,5,0,0,27,9,1,1,30,21,0.0,0.0,0
Luis Manuel García,mx MEX,GK,Toluca,Liga MX,32-041,1992,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,mx MEX,GK,Toluca,Liga MX,32-041,1992,3,270,90,13.0,3.0,3,90,3,0,0,14,1.33,3,3,0,0.0,-1.1,mx MEX,GK,Toluca,Liga MX,32-041,1992,3.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0
